id,latitude,longitude,name,address,zip,city,state
114,46.9566072,7.440216818,Engehalde,Engehaldenstrasse 26,3012,Bern,Active
117,46.95675,7.46789,Mingerstrasse,Mingerstrasse 20,3006,Bern,Active
118,46.9684565,7.462427706,SBB Hilfikerstrasse,Schädelinstrasse 4,3014,Bern,Active
119,46.95752776631194,7.440576239521807,PostAuto Engehalde,Engehaldenstrasse 37,3012,Bern,Active
121,46.956956,7.48287,SBB Poststrasse,Poststrasse 5,3072,Ostermundigen,Active
122,46.9613082,7.4466679,SBB Wylerpark,Wylerstrasse 123,3014,Bern,Active
174,46.94360735,7.407176018,Europaplatz,Freiburgstrasse 130,3008,Bern,Active
175,46.93936328,7.3863875,Statthalterstrasse,Freieckweg 2,3018,Bern,Active
176,46.935853071517315,7.390354333129826,Technopark,Weidgasse 2,3018,Bern,Active
177,46.94941743287729,7.381454366484235,Holenackerstrasse,Holenackerstrasse 24,3027,Bern,Active
178,46.93721214,7.387227529,Kleefeld,Rehhagstrasse,3018,Bern,Active
179,46.94547417,7.392808718,Schwabgut,Schwabstrasse 10,3018,Bern,Active
180,46.94783389,7.377815515,Gäbelbach,Colombstrasse 11,3027,Bern,Active
181,46.93790188,7.395473559,Bahnhof Bümpliz Süd,Bümplizstrasse 187,3018,Bern,Active
182,46.96274,7.46276,Stadion Wankdorf,Morgartenstrasse 1,3014,Bern,Active
183,46.9432034,7.4735436,Sonnenhofspital,Buchserstrasse 26,3006,Bern,Active
184,46.9489797,7.388230277,Tscharnergut,Waldmannstrasse 31,3027,Bern,Active
185,46.94666867,7.400753,Bahnhof Stöckacker,Untermattweg 36,3027,Bern,Active
186,46.94933307,7.393986259,Bethlehem Kirche,Murtenstrasse 266,3027,Bern,Active
187,46.9471342,7.465732377,Schule Laubegg,Schosshaldenstrasse 37,3006,Bern,Active
188,46.95518301852439,7.451799078591182,Viktoriaplatz,Beundenfeldstrasse 2,3013,Bern,Active
189,46.961863,7.4592672,Tellplatz,Tellstrasse 20,3014,Bern,Active
190,46.96033428,7.46145542,Tellstrasse EJPD,Wankdorfstrasse 1,3014,Bern,Active
191,46.9601228,7.454339823,Stauffacherplatz,Scheibenstrasse 13,3014,Bern,Active
192,46.9677817,7.4646494,Wankdorf Bhf Nord,Trüsselstrasse,3014,Bern,Active
193,46.9552642,7.4593279,Kasernenstrasse HKB,Kasernenstrasse 13k,3014,Bern,Active
194,46.95860113643669,7.456935120256138,Kasernenwiese,Militärstrasse 42,3014,Bern,Active
195,46.95434977,7.445349236,Lorrainebrücke,Lorrainestrasse 1,3013,Bern,Active
196,46.9665865,7.4639627,Wankdorf Bhf Süd,Wankdorffeldstrasse 2,3014,Bern,Active
197,46.93948968,7.389995118,Bachmätteli,Bottigenstrasse 9,3018,Bern,Active
198,46.94396437,7.3746113,Westside,Riedbachstrasse 96,3027,Bern,Active
199,46.9456501,7.3901001,Bahnhof Bümpliz Nord,Mühledorfstrasse 20,3018,Bern,Active
201,46.956024,7.425813,Fabrikstrasse,Muesmatt,3012,Bern,Active
202,46.95654768,7.431773159,Neufeldstrasse,Neufeldstrasse 20,3012,Bern,Active
203,46.9569128,7.4376583,Bierhübeli,Neubrückstrasse 70,3012,Bern,Active
204,46.9515508,7.4345382,Falkenplatz,Länggassstrasse 7,3012,Bern,Active
212,46.958717,7.4646494,Guisanplatz Expo,Mingerstrasse 4,3006,Bern,Active
213,46.9503428,7.435298,UniS,Schanzeneckstrasse 1,3012,Bern,Active
214,46.94626375,7.438039659,Wallgasse,Wallgasse 3,3011,Bern,Active
215,46.95206911,7.461576536,Rosengarten Ost,Reiterstrasse 19,3006,Bern,Active
216,46.95382478,7.458180959,Schönburg,Spitalackerstrasse 12,3013,Bern,Active
217,46.9483305,7.44079,Bahnhofplatz,Spitalgasse 44,3011,Bern,Active
218,46.96196875,7.452963636,Breitfeld,Weingartstrasse 59,3014,Bern,Active
219,46.9514853,7.4303815,Bühlstrasse Uni,Bühlstrasse 37,3012,Bern,Active
220,46.9559178,7.4467885,Dammweg TX Group AG,Dammweg 9,3013,Bern,Active
221,46.9519742,7.4227466,Station ausser Betrieb wegen technischen Problemen: Fabrikstrasse Uni Bern,Fabrikstrasse 2,3012,Bern,Inactive
222,46.95344402,7.423930459,Hochschulzentrum von Roll,Fabrikstrasse 14,3012,Bern,Active
